"gene","process","group","species","taxa","polytomy","paraphyly","MCI","MCI.ci","nCID","nCID.ci","seq.identity","info.sites"
"AATS","reference","reference",93,44,0.195652173913043,0.227272727272727,11.5903767385919,2.68347540799819,0.331017485701814,0.845276874543311,0.520727905820088,0.901730103806228
"AcCoA","reference","reference",91,40,0.025,0.15,11.2707697849956,3.14574355462646,0.382677573062554,0.827820679177786,0.596773500527302,0.78159509202454
"ADA","reference","reference",65,31,0.129032258064516,0.193548387096774,8.65995831877179,2.78087622718451,0.419362085970796,0.813368196811934,0.392291445818357,0.714285714285714
"ArgK","reference","reference",101,44,0.340909090909091,0.136363636363636,7.12204503902589,2.35526096629705,0.526558012264887,0.8437460057896,0.802103382893143,0.548556430446194
"Arr2","reference","reference",95,43,0.170212765957447,0.325581395348837,9.5284682185342,2.6827411205906,0.434112729734556,0.84051189841447,0.633647400088021,0.644295302013423
"CAD","reference","reference",92,41,0.0238095238095238,0.195121951219512,15.0421819777977,3.15848934279644,0.207806378611401,0.833500513839326,0.553954864386752,0.810042818217205
"Cda4","reference","reference",78,39,0.0769230769230769,0.153846153846154,13.0831539162906,2.90681303425071,0.24870178348395,0.833076683011511,0.597999353097886,0.62303664921466
"chinmo","somatic sex","sex determination",77,42,0.219512195121951,0.0952380952380952,12.4307610770093,2.64805908222126,0.273863918727279,0.84555764261705,0.308600176626684,0.912403100775194
"Cp1","reference","reference",83,36,0.432432432432432,0.222222222222222,5.52761711809396,1.9011399382472,0.556374341506531,0.84741842409061,0.596521470171546,0.458536585365854
"CTR9","reference","reference",92,43,0.0909090909090909,0.186046511627907,13.54571583741,2.95882735805101,0.243802425626564,0.834811011576866,0.515602290531153,0.881975625400898
"CycC","reference","reference",85,38,0.230769230769231,0.210526315789474,9.29190880825852,2.63744128050564,0.405924889525103,0.831410629799026,0.781492168792465,0.554385964912281
"CycE","reference","reference",53,26,0.130434782608696,0,9.02356870195886,2.56209617438807,0.325442313093727,0.808470270897206,0.312698297760932,0.835051546391753
"DDC","reference","reference",92,43,0.0666666666666667,0.232558139534884,12.9328698383253,3.09967915906449,0.313035293845107,0.835630670433255,0.678968819280577,0.520408163265306
"dmrt11E","other DMRT",NA,48,27,0.222222222222222,0.222222222222222,6.66628332108805,2.34923891081054,0.456035611423085,0.808302283597517,0.277983086029132,0.846830985915493
"dmrt93B","other DMRT",NA,73,35,0.147058823529412,0.114285714285714,10.1069392487736,2.7368477133802,0.327313511989277,0.817843915826713,0.271611258251869,0.894664842681259
"dmrt99B","other DMRT",NA,74,36,0.135135135135135,0.222222222222222,9.12329616441577,2.64604763866192,0.400259825150855,0.826056170393774,0.291900820494143,0.849104859335038
"DNApol-d","reference","reference",92,44,0.024390243902439,0,13.8009282675794,3.13051262019153,0.30205693123676,0.841683143149779,0.6386403011914,0.629310344827586
